frame_number,tracking_id,car_x1,car_y1,car_x2,car_y2,lp_x1,lp_y1,lp_x2,lp_y2,lg_x1,lg_y1,lg_x2,lg_y2,lg_name
41,5,1457.2573179884266,475.35140111033513,1904.732188476216,1015.1225638382979,,,,,,,,,[None]
41,3,820.0403330513138,439.02010349733825,1492.86205901984,971.4797234507406,1121.7637217231888,677.2714310119867,1247.9302256294388,750.4736862610101,1160.4139597602982,637.203880352807,1216.7611582466263,684.5462875793695,Honda
41,2,822.7460276192965,439.0564232181988,1492.2339013076826,966.3028924522836,1124.3630320138277,678.591640503355,1248.1633249825777,750.5847435306988,1161.7815195626558,638.6190452885113,1216.531092316562,684.1323662113629,Honda
42,5,1458.9408047275228,475.0140998795488,1905.294580193749,1014.5482706047131,,,,,,,,,[None]
42,3,819.7958145053287,438.8654375226321,1492.6048645663893,970.9447056629382,1122.2816238315006,678.9476061017336,1248.645759573688,752.1419878156008,1162.0768508822819,639.5887651593508,1217.0492324740787,684.7766161114993,Honda
42,2,821.9498000724757,438.8171203439612,1491.787460512352,966.0237551808652,1122.9966445548976,679.1853149240394,1248.593904076382,751.8872192209144,1161.7218947990382,639.3401763742347,1217.5289321525538,685.5562866037269,Honda
43,5,1459.5902338092703,476.85066186254585,1905.12173827958,1015.1938568623202,,,,,,,,,[None]
43,3,822.1208948732628,437.3717080050633,1493.1415555904691,968.1438268751424,1123.4687952638878,679.688037961118,1247.2011866213097,750.6698952609227,1161.0485987306847,638.8534432345555,1216.283797705294,684.6156502658055,Honda
43,2,822.3484614724352,438.25561937532655,1492.051907950186,964.750220212355,1124.7759822243884,679.492298452475,1247.7256587380602,748.2236369534515,1161.3841365212634,638.3692820950531,1216.5118525857165,685.6643412991547,Honda
44,5,1459.6709005315527,477.52961614638593,1905.0531355340097,1015.1519050817799,,,,,,,,,[None]
44,3,822.8823740974526,437.3647493204474,1492.6442317458368,967.6558747581344,1124.2740061775307,679.6374696573614,1248.111713697062,750.020907767713,1162.0825388923745,638.6669496378302,1217.3620493904214,685.2241548380255,Honda
44,2,821.3709008436716,438.39845028592083,1491.4700381179823,964.6702592173953,1123.3696191053905,679.4027227468583,1248.1970727186717,750.4406560964677,1161.099996302656,638.4940313406083,1216.8499047499217,685.7588018484208,Honda
45,5,1459.534963626047,478.40437352976863,1904.9346824619429,1014.916700076484,,,,,,,,,[None]
45,3,823.8316648628052,437.23755362713877,1492.3342017497093,966.8236117228646,1123.6557920600708,679.7396745988185,1247.8529050971802,750.6272020646388,1161.5997923042114,638.6173754044826,1217.266906562024,685.2983141251857,Honda
45,2,821.7877507115154,438.3827741239822,1491.5328151400468,964.2280939406576,1123.801788797453,679.3823316190994,1248.6944279576092,750.4978864286697,1161.550568094328,638.5233075712479,1217.268860330656,685.6767346952713,Honda
46,5,1458.621879618668,478.59285646621163,1904.5740799678686,1014.47994554675,,,,,,,,,[None]
46,3,824.6961780167537,437.57633071291883,1492.259557661965,967.056794247866,1123.2659106827693,679.5291047607705,1247.7947497940975,751.7406983887001,1161.7444263077693,639.0950074707314,1216.7246509171443,685.8187470947548,Honda
46,2,822.6109797001884,438.6350864182613,1491.7471869744693,964.38166851438,1124.2617975712822,679.4277805100583,1247.6839472294853,751.0080722581051,1161.3360163212822,639.1305392991208,1216.9741999150322,685.4447330247067,Honda
47,5,1457.2750232455965,478.2406178522618,1904.2403366529352,1014.4021406433933,,,,,,,,,[None]
47,3,824.5151164767021,438.2329076222544,1491.6425660204818,967.5277116971785,1123.8558757540459,680.0899480275278,1247.4366557833428,750.9557774953013,1161.4695537325615,639.1254094533091,1216.407419943499,684.8576787404185,Honda
47,2,823.3842852245542,437.06108287887486,1492.4155604384796,960.088902648627,1125.1723406444762,680.095293083953,1247.3819658886168,748.9709949882499,1161.246773017523,638.1682453544609,1216.5979387890075,685.6540699394218,Honda
48,5,1456.4990655649074,479.1079369218771,1904.1387150465118,1013.9182673950386,,,,,,,,,[None]
48,3,824.5304456538767,437.8233276251149,1491.0543727808772,965.9533790952996,1123.1293531245797,679.5423675421071,1247.8307081050484,750.1974426153492,1161.2435499019234,638.2014861944508,1216.9396253413765,685.3502441290211,Honda
48,2,823.7185103832161,436.0618721682553,1492.3853335193025,955.809225567978,1124.227482551185,679.3951698977476,1247.949650519935,748.2097603518491,1160.9512984691537,636.9657570559507,1217.8413436351693,685.3115822512632,Honda
49,5,1455.821062702706,480.9754114408572,1904.1291161330505,1014.9067869656024,,,,,,,,,[None]
49,3,823.737235257285,438.92799856275957,1490.5231424693586,967.7727603721007,1124.6017982455662,680.1077165803376,1248.10954971041,752.1028337678376,1161.4954444858006,639.8517351350251,1216.9556800815037,685.6195726594392,Honda
49,2,822.8210753716963,437.58631527753073,1491.982787311409,957.0138527766119,1124.9509887017743,680.1829797062417,1247.8251036920087,749.6314202579995,1161.03634636779,638.2458764347573,1217.8484191216962,686.7425957951089,Honda
50,5,1454.70381618122,481.45402646982603,1903.9555521637342,1015.2843625540479,,,,,,,,,[None]
50,3,823.8877343759624,438.65460079711943,1490.4914502508796,967.3380406616268,1124.7192773447123,679.6361529211429,1248.038033448228,751.7901293615726,1161.6743249521342,639.6280505041507,1216.7878808603373,685.2815081457522,Honda
50,2,822.8943844193296,437.47049143844157,1491.9625468588356,955.6985348452392,1124.7594356888608,680.7404041581681,1247.9484920853452,749.7511921220353,1160.8001461380795,638.584367781215,1217.6340999955014,686.8363514237931,Honda
51,5,1453.4112735399374,482.4759217245605,1903.7533088407379,1014.772730182209,,,,,,,,,[None]
51,3,823.5950525830349,438.7040438110257,1490.3523632208812,967.3808572668543,1124.4735315869411,679.727054064932,1247.6724451611599,751.8174776489163,1161.3517054150661,639.6390108520413,1216.5275477002224,685.3158754760648,Honda
51,2,822.2757729563365,437.95436709074477,1491.7400049729922,955.7743106332304,1124.1891945871957,681.2248291268776,1247.2692727121957,750.267904688401,1160.1486672434457,639.0225586190651,1217.0570839914926,687.3291534676979,Honda
52,5,1453.6033243347733,484.3176035941999,1904.1443755603436,1014.6014932163669,,,,,,,,,[None]
52,3,823.9400955879429,436.7816308156236,1490.3356810780892,962.4007293283269,1125.095155402396,680.0995019093737,1248.5281082832553,750.205794633983,1161.9794022285678,638.4182427541002,1217.332246466849,685.5102532521471,Honda
52,2,822.8299639978247,436.1887421962367,1492.028602703551,950.4844624969717,1123.7444232263404,680.2502351161586,1248.5756915368872,749.4631562587367,1162.0691607751685,637.9703278895961,1217.1384661950904,686.5015168544398,Honda
